id,brand,title,price,mrp,discount,category,occasion,fabric,colour,sizes,season,style,age,rating,reviewCount
"139","W for Woman","W for Woman Floral Print Georgette Crop Top for Women","6750","7950","15","Top","casual","georgette","Black | Burgundy | Blush | White","Plus Size | XS | S | XXL | Petite | M","spring","k-fashion","teen","4.6","14825"
"140","FabIndia","FabIndia Striped Knit Shirt for Women","13800","15700","12","Top","casual","knit","Ivory | Yellow | Pink","XS | S | M | Petite","summer","ethnic","young-adult","5","7543"
"141","Gucci","Gucci Abstract Print Rayon Top for Women","198250","225300","12","Top","casual","rayon","Navy | Olive | Ivory","M | XL | XXL | XS","monsoon","minimalist","adult","4.5","1929"
"142","Louis Vuitton","Louis Vuitton Satin Cold Shoulder Top for Women","957550","1040800","8","Top","casual","satin","Mustard | Black","S | L | XL | XS | Petite | M","autumn","boho","mid-adult","3.4","9899"
"143","Forever 21","Forever 21 Striped Polyester Shirt for Women","850","1000","15","Top","casual","polyester","White | Green | Lavender | Peach","XS | S | Petite | Plus Size | XXL","winter","streetwear","mature","3.2","13944"
"144","H&M","H&M Printed Viscose Leggings for Women","1400","1650","15","Bottom","casual","viscose","Red | Pink | Mint | Beige","30 | 36 | 24 | 34","all seasons","classic","senior","4.3","8482"
"145","Zara","Zara High-Rise Cotton Jeans for Women","6350","6700","5","Bottom","casual","cotton","Cobalt | Ivory | Red | Blue","30 | 24 | 36 | 34 | 26 | 28 | 32","spring","romantic","teen","3.3","3850"
"146","Mango","Mango Silk Bermuda Shorts for Women","14100","14850","5","Bottom","casual","silk","Blush | Coral | Pink","XS | S | M | L","summer","edgy","young-adult","4.4","13075"
"147","Uniqlo","Uniqlo Pleated Linen Mini Skirt for Women","9700","11150","13","Bottom","casual","linen","Mint | Green | Burgundy","30 | 36 | 26 | 32 | 28 | 24","monsoon","preppy","adult","4.8","4148"
"148","ONLY","ONLY Printed Denim Leggings for Women","6400","7450","14","Bottom","casual","denim","Pink | Peach | Red","XXL | M | L | S | XS | XL","autumn","cottagecore","mid-adult","4.1","1581"
"149","BIBA","BIBA Ethnic Chiffon Patiala for Women","6050","6900","12","Bottom","casual","chiffon","Beige | Olive","30 | 28 | 26 | 24 | 32 | 36","winter","k-fashion","mature","3.5","1703"
"150","W for Woman","W for Woman Pleated Velvet A-Line Skirt for Women","5750","6450","11","Bottom","casual","velvet","Green | Cobalt | Blue","XXL | S | XL | M | L | XS","all seasons","ethnic","senior","3.6","2742"
"151","FabIndia","FabIndia Pleated Georgette A-Line Skirt for Women","8450","9200","8","Bottom","casual","georgette","Black | White","M | L | S | XS | XL","spring","minimalist","teen","3.4","1472"
"152","Gucci","Gucci Flared Knit Skirt for Women","118800","132000","10","Bottom","casual","knit","Pink | Black | Beige | Olive | White","32 | 26 | 34 | 36","summer","boho","young-adult","3.3","6974"
"153","Louis Vuitton","Louis Vuitton High-Rise Rayon Jeans for Women","320300","352000","9","Bottom","casual","rayon","Olive | Navy | Blush","26 | 28 | 34 | 36 | 32 | 24","monsoon","streetwear","adult","4.9","10673"
"154","Forever 21","Forever 21 Satin Jogger Pants for Women","3700","3900","5","Bottom","casual","satin","White | Lavender | Cobalt | Peach","XL | XS | M | S | L | XXL","autumn","classic","mid-adult","4.6","5125"
"155","H&M","H&M Polyester Shirt Dress for Women","7950","8850","10","Dress","casual","polyester","White | Lavender","XL | XS | L | S | M | XXL","winter","romantic","mature","4.1","3330"
"156","Zara","Zara Off-Shoulder Viscose Mini Dress for Women","3900","4300","9","Dress","casual","viscose","Olive | Beige","L | XS | S | XL","all seasons","edgy","senior","3.7","9988"
"157","Mango","Mango Vintage Cotton Tea Dress for Women","9550","10250","7","Dress","casual","cotton","Burgundy | Beige | Coral | Green | Peach","M | S | L | XS | XL","spring","preppy","teen","4.2","547"
"158","Uniqlo","Uniqlo Silk Pleated Sundress for Women","7150","7550","5","Dress","casual","silk","White | Olive | Burgundy","XS | XXL | S | XL | L | M","summer","cottagecore","young-adult","3.7","4533"
"159","ONLY","ONLY Sequin Linen Cocktail Dress for Women","6650","7450","11","Dress","casual","linen","Green | Blush","XS | S | M | L | XL","monsoon","k-fashion","adult","3.9","10832"
"160","BIBA","BIBA Denim Asymmetric Hem Dress for Women","5800","6600","12","Dress","casual","denim","White | Mustard | Blue","XXL | L | M | XL","autumn","ethnic","mid-adult","4.9","2775"
"161","W for Woman","W for Woman Wrap Chiffon Dress for Women","9350","10850","14","Dress","casual","chiffon","Olive | Black | White | Teal | Red","XS | S | XXL | XL","winter","minimalist","mature","4.2","13419"
"162","FabIndia","FabIndia Ruched Velvet Evening Dress for Women","4150","4600","10","Dress","casual","velvet","Pink | Beige | Burgundy","M | XXL | S | XS","all seasons","boho","senior","4.6","11203"
"163","Gucci","Gucci Georgette Puff Sleeve Dress for Women","398950","433650","8","Dress","casual","georgette","Lavender | Green","L | M | XXL","spring","streetwear","teen","3.4","1561"
"164","Louis Vuitton","Louis Vuitton Ruched Knit Evening Dress for Women","456250","480250","5","Dress","casual","knit","Beige | White | Burgundy","XS | L | XL | S | M","summer","classic","young-adult","4.6","8573"
"165","Forever 21","Forever 21 Rayon Pleated Sundress for Women","3550","3800","7","Dress","casual","rayon","Blush | Black | Mustard","L | M | S | XL","monsoon","romantic","adult","4","10496"
"166","H&M","H&M Satin Salwar Kameez Set for Women","6850","7450","8","Ethnic Set","casual","satin","Burgundy | Beige | Red | Lavender | Navy","XS | S | M | L | XL","autumn","edgy","mid-adult","4.5","8398"
"167","Zara","Zara Polyester Straight Kurta with Dupatta for Women","3700","3950","6","Ethnic Set","casual","polyester","Teal | Beige | Mint | Black | Peach","XS | S | M","winter","preppy","mature","4.3","11083"
"168","Mango","Mango Viscose Indo-Western Fusion Set for Women","11350","12450","9","Ethnic Set","casual","viscose","Red | Burgundy | Lavender | White | Coral","XS | S | XL | L | M | XXL","all seasons","cottagecore","senior","3.5","10197"
"169","Uniqlo","Uniqlo Cotton Kurti with Churidar for Women","1100","1300","14","Ethnic Set","casual","cotton","Mustard | Black | Pink","M | S | L | XL | XXL","spring","k-fashion","teen","5","5851"
"170","ONLY","ONLY Silk Indo-Western Fusion Set for Women","5600","6450","13","Ethnic Set","casual","silk","Peach | Ivory","XS | XXL | S","summer","ethnic","young-adult","4.9","13790"
"171","BIBA","BIBA Linen Lehenga Choli for Women","900","1000","12","Ethnic Set","casual","linen","Blue | Lavender | Blush | Olive | Red","L | S | XS","monsoon","minimalist","adult","3.3","1148"
"172","W for Woman","W for Woman Denim Kurta with Palazzo Set for Women","4750","5050","6","Ethnic Set","casual","denim","Black | White | Mint | Coral | Lavender","L | M | S","autumn","boho","mid-adult","4.9","6303"
"173","FabIndia","FabIndia Chiffon Sharara Set for Women","4550","5100","11","Ethnic Set","casual","chiffon","Ivory | Pink | Green | Blush | Cobalt","L | XXL | M | S | XS | XL","winter","streetwear","mature","4.9","9773"
"174","Gucci","Gucci Velvet Gown Style Kurta for Women","277750","319250","13","Ethnic Set","casual","velvet","Mustard | Burgundy","M | L | XL","all seasons","classic","senior","3.4","6754"
"175","Louis Vuitton","Louis Vuitton Georgette Bridal Lehenga Set for Women","317800","369550","14","Ethnic Set","casual","georgette","Mint | Ivory | Black | Peach","XS | S | M","spring","romantic","teen","4.6","4583"
"176","Forever 21","Forever 21 Knit Lehenga Choli for Women","1450","1600","9","Ethnic Set","casual","knit","White | Navy | Pink | Beige | Peach","XS | XL | S | M","summer","edgy","young-adult","4.4","13301"
"177","H&M","H&M Rayon Trench Coat for Women","2100","2300","9","Outerwear","casual","rayon","Beige | Blue","XS | S | M | XXL | L | Plus Size","monsoon","preppy","adult","3.6","11714"
"178","Zara","Zara Satin Shrug for Women","13450","15300","12","Outerwear","casual","satin","Blue | White | Navy | Pink","XS | S | Plus Size | M | Petite | XL | L","autumn","cottagecore","mid-adult","4.6","2170"
"179","Mango","Mango Polyester Puffer Jacket for Women","3100","3500","11","Outerwear","casual","polyester","Olive | Black | Pink","XS | S | M | Petite","winter","k-fashion","mature","4.4","10820"
"180","Uniqlo","Uniqlo Viscose Denim Jacket for Women","9450","10400","9","Outerwear","casual","viscose","Beige | Green | Blue | Teal","L | XS | S | Petite","all seasons","ethnic","senior","4.1","9650"
"181","ONLY","ONLY Cotton Puffer Jacket for Women","1650","1900","13","Outerwear","casual","cotton","Teal | Red | Green | White","M | Petite | Plus Size | S","spring","minimalist","teen","4.5","9689"
"182","BIBA","BIBA Silk Double-Breasted Coat for Women","7800","8550","9","Outerwear","casual","silk","Burgundy | Navy | Peach | Cobalt | Beige","XS | L | XL | S | XXL | M","summer","boho","young-adult","3.2","4352"
"183","W for Woman","W for Woman Linen Double-Breasted Coat for Women","7200","7900","9","Outerwear","casual","linen","Teal | Green | Cobalt | Pink | White","Petite | Plus Size | XXL | XL","monsoon","streetwear","adult","3.8","13265"
"184","FabIndia","FabIndia Denim Trench Coat for Women","10150","11400","11","Outerwear","casual","denim","Mint | Blue | Blush | Beige","Petite | Plus Size | L | M | XL | XXL | S","autumn","classic","mid-adult","3.9","12395"
"185","Gucci","Gucci Chiffon Overcoat for Women","201400","221300","9","Outerwear","casual","chiffon","Blue | Beige | Mustard | Navy | Burgundy","XL | XS | XXL | L | S","winter","romantic","mature","4.1","914"
"186","Louis Vuitton","Louis Vuitton Velvet Blazer for Women","995300","1058850","6","Outerwear","casual","velvet","Blush | Coral | Burgundy","XS | L | XXL | S | XL | M | Plus Size","all seasons","edgy","senior","4.1","5649"
"187","Forever 21","Forever 21 Georgette Denim Jacket for Women","1700","1950","12","Outerwear","casual","georgette","Navy | Blue | Blush | Red | Peach","L | XXL | Petite | M","spring","preppy","teen","4.3","6243"
"188","H&M","H&M Off-Shoulder Knit Jumpsuit for Women","4750","5150","8","Jumpsuit","casual","knit","Green | Cobalt | Blue | Ivory","L | XS | XXL | Plus Size","summer","cottagecore","young-adult","3.8","105"
"189","Zara","Zara Floral Rayon Playsuit for Women","2200","2400","8","Jumpsuit","casual","rayon","Peach | Red","XS | Petite | S | Plus Size | M | XL | L","monsoon","k-fashion","adult","3.9","6363"
"190","Mango","Mango Off-Shoulder Satin Jumpsuit for Women","10900","12400","12","Jumpsuit","casual","satin","Pink | Blue | Mustard | Red","L | XL | Petite | Plus Size | XS | S","autumn","ethnic","mid-adult","3.3","9725"
"191","Uniqlo","Uniqlo Printed Polyester Romper for Women","3050","3600","15","Jumpsuit","casual","polyester","Teal | Navy | Coral | Mustard","XL | XXL | Petite | L | M | S","winter","minimalist","mature","3.6","5936"
"192","ONLY","ONLY Viscose Strapless Jumpsuit for Women","750","900","15","Jumpsuit","casual","viscose","White | Blush | Olive | Blue | Navy","XXL | XS | S | Plus Size","all seasons","boho","senior","3.3","3679"
"193","BIBA","BIBA Cotton Wide-Leg Jumpsuit for Women","3800","4100","7","Jumpsuit","casual","cotton","Black | Burgundy | Cobalt | Ivory","XS | S | Petite | XXL | M","spring","streetwear","teen","3.9","13971"
"194","W for Woman","W for Woman Silk Strapless Jumpsuit for Women","6000","6900","13","Jumpsuit","casual","silk","Mint | Coral | Lavender","L | M | S | XL | XXL","summer","classic","young-adult","4.6","10773"
"195","FabIndia","FabIndia Linen Co-ord Set for Women","12950","13800","6","Jumpsuit","casual","linen","Pink | Green | Coral","Petite | XS | XXL | S | Plus Size","monsoon","romantic","adult","4.4","2499"
"196","Gucci","Gucci Floral Denim Playsuit for Women","378650","430300","12","Jumpsuit","casual","denim","Red | Burgundy | Coral","L | XXL | XL | M","autumn","edgy","mid-adult","5","12009"
"197","Louis Vuitton","Louis Vuitton Halter Neck Chiffon Jumpsuit for Women","691400","768200","10","Jumpsuit","casual","chiffon","Mustard | Ivory | Burgundy","L | M | S | XXL | XL | Petite | XS","winter","preppy","mature","4.4","13580"
"198","Forever 21","Forever 21 Floral Velvet Playsuit for Women","3850","4350","11","Jumpsuit","casual","velvet","Red | Blue | Beige | Cobalt","XXL | S | XS | Petite | XL | M","all seasons","cottagecore","senior","4.6","2284"
"199","H&M","H&M Polka Dot Georgette Blouse for Women","7850","8350","6","Top","formal","georgette","Black | White | Pink | Mustard | Ivory","XS | XXL | XL | Petite | Plus Size | M | L","spring","k-fashion","teen","4.8","8393"
"200","Zara","Zara Solid Knit Sleeveless Top for Women","13200","14200","7","Top","formal","knit","Mustard | Blue | Burgundy","L | Plus Size | XS | XL","summer","ethnic","young-adult","4","784"
"201","Mango","Mango Lace Trim Rayon Blouse for Women","14500","17050","15","Top","formal","rayon","Pink | Teal | Cobalt | Blue","L | Plus Size | M | S | XXL | Petite","monsoon","minimalist","adult","3.7","9744"
"202","Uniqlo","Uniqlo Polka Dot Satin Blouse for Women","4250","4950","14","Top","formal","satin","Lavender | Burgundy | Navy","XS | S | M | Plus Size | L","autumn","boho","mid-adult","4.7","11603"
"203","ONLY","ONLY Tie-Dye Polyester Tank Top for Women","7750","8500","9","Top","formal","polyester","Olive | Blush | Mint | Yellow | Blue","Plus Size | XXL | XS | S","winter","streetwear","mature","3.8","6803"
"204","BIBA","BIBA Viscose V-Neck Fitted Top for Women","6150","7050","13","Top","formal","viscose","Olive | Red | White | Blue | Navy","M | XXL | Petite | XS","all seasons","classic","senior","3.4","6619"
"205","W for Woman","W for Woman Cotton Off-Shoulder Blouse for Women","8200","8900","8","Top","formal","cotton","Burgundy | Mint | Peach | Ivory","XL | M | Petite | S | XXL | XS | L","spring","romantic","teen","5","4871"
"206","FabIndia","FabIndia Striped Silk Shirt for Women","12950","14700","12","Top","formal","silk","Mint | Blue","Petite | XS | S | XXL | M","summer","edgy","young-adult","4.6","13133"
"207","Gucci","Gucci Cutout Detail Linen Top for Women","104300","113350","8","Top","formal","linen","Lavender | Red | White | Cobalt","M | S | XL | XS","monsoon","preppy","adult","4.3","9130"
"208","Louis Vuitton","Louis Vuitton Denim Smocked Top for Women","650100","714400","9","Top","formal","denim","Black | Blue | Teal | Ivory","XS | S | M | L | XL","autumn","cottagecore","mid-adult","4.6","12201"
"209","Forever 21","Forever 21 Abstract Print Chiffon Top for Women","2350","2600","10","Top","formal","chiffon","Beige | Mint | Cobalt | Peach | Blush","XXL | XS | XL | M | Plus Size | Petite | L","winter","k-fashion","mature","4.8","12347"
"210","H&M","H&M Velvet Track Pants for Women","1650","1800","8","Bottom","formal","velvet","Cobalt | Navy | Beige | Ivory | Red","30 | 32 | 34 | 24 | 26 | 36","all seasons","ethnic","senior","4.4","6424"
"211","Zara","Zara Pleated Georgette A-Line Skirt for Women","8100","8800","8","Bottom","formal","georgette","Mustard | Olive","26 | 36 | 30 | 32","spring","minimalist","teen","3.5","8834"
"212","Mango","Mango Distressed Knit Denim Shorts for Women","2950","3400","13","Bottom","formal","knit","Blue | Blush | Peach","XXL | XL | L | M | S | XS","summer","boho","young-adult","4.7","406"
"213","Uniqlo","Uniqlo Rayon Cargo Pants for Women","5700","6200","8","Bottom","formal","rayon","Pink | Mint | Ivory","34 | 30 | 28 | 26 | 24 | 36","monsoon","streetwear","adult","4.4","3755"
"214","ONLY","ONLY Satin Culottes for Women","950","1050","9","Bottom","formal","satin","Mint | Coral | Beige | Black","28 | 26 | 24 | 30 | 32 | 36","autumn","classic","mid-adult","3.5","2021"
"215","BIBA","BIBA Polyester Palazzo Pants for Women","3150","3300","5","Bottom","formal","polyester","Yellow | Cobalt | Coral","30 | 36 | 28 | 26 | 32 | 24","winter","romantic","mature","3.7","4011"
"216","W for Woman","W for Woman Pleated Viscose Mini Skirt for Women","4500","4900","8","Bottom","formal","viscose","Coral | Blue","L | M | XXL | S | XL | XS","all seasons","edgy","senior","4.5","11526"
"217","FabIndia","FabIndia Flared Cotton Skirt for Women","10800","11600","7","Bottom","formal","cotton","Olive | Ivory | Teal | Pink","30 | 34 | 28 | 36","spring","preppy","teen","3.4","4193"
"218","Gucci","Gucci Silk Cargo Pants for Women","118700","129000","8","Bottom","formal","silk","Cobalt | Pink | Yellow | White | Blue","24 | 26 | 34 | 36 | 32 | 28 | 30","summer","cottagecore","young-adult","3.7","13154"
"219","Louis Vuitton","Louis Vuitton Linen Culottes for Women","439000","510450","14","Bottom","formal","linen","Blue | Green | Ivory | Peach | Teal","24 | 26 | 28 | 36 | 32","monsoon","k-fashion","adult","4.3","14172"
"220","Forever 21","Forever 21 Denim Jogger Pants for Women","2200","2350","6","Bottom","formal","denim","Beige | Blush","28 | 36 | 34 | 30 | 26","autumn","ethnic","mid-adult","4.1","7898"
"221","H&M","H&M Chiffon Shirt Dress for Women","2050","2300","11","Dress","formal","chiffon","Mustard | Lavender | Blue | Navy","XS | XL | S","winter","minimalist","mature","3.9","11955"
"222","Zara","Zara Vintage Velvet Tea Dress for Women","11100","12450","11","Dress","formal","velvet","Lavender | Cobalt | Blue | Peach | Green","XXL | XL | L | S | XS | M","all seasons","boho","senior","4.4","2626"
"223","Mango","Mango Wrap Georgette Dress for Women","17000","18700","9","Dress","formal","georgette","Green | Mustard | Mint","L | XL | M | S | XS | XXL","spring","streetwear","teen","4.3","11434"
"224","Uniqlo","Uniqlo Knit A-Line Party Dress for Women","1000","1050","6","Dress","formal","knit","Mint | Mustard | Cobalt | White | Beige","XXL | XL | L | M","summer","classic","young-adult","4.4","5995"
"225","ONLY","ONLY Sequin Rayon Cocktail Dress for Women","2750","3200","14","Dress","formal","rayon","Mustard | Black","L | M | S | XXL | XS | XL","monsoon","romantic","adult","3.7","5451"
"226","BIBA","BIBA Balloon Sleeve Satin Dress for Women","7800","8300","6","Dress","formal","satin","Black | Teal","L | XS | XXL | XL | S","autumn","edgy","mid-adult","4.8","3592"
"227","W for Woman","W for Woman Floral Polyester Maxi Dress for Women","7950","9250","14","Dress","formal","polyester","Teal | Pink | Blush | Blue","L | XXL | M | S | XL | XS","winter","preppy","mature","3.9","8081"
"228","FabIndia","FabIndia Off-Shoulder Viscose Mini Dress for Women","7150","8300","14","Dress","formal","viscose","Black | Pink","S | XS | L | M | XXL","all seasons","cottagecore","senior","4.1","6964"
"229","Gucci","Gucci Printed Cotton Shift Dress for Women","77000","84600","9","Dress","formal","cotton","Mint | Mustard","L | M | XL | S | XXL | XS","spring","k-fashion","teen","4.1","1006"
"230","Louis Vuitton","Louis Vuitton Tiered Silk Boho Dress for Women","667450","741600","10","Dress","formal","silk","Coral | Black","XXL | L | S","summer","ethnic","young-adult","4.1","7533"
"231","Forever 21","Forever 21 Linen Bodycon Midi Dress for Women","3350","3700","9","Dress","formal","linen","Beige | Blush | White","XXL | XL | L | M | S","monsoon","minimalist","adult","3.9","6751"
"232","H&M","H&M Denim Patiala Suit Set for Women","4400","5000","12","Ethnic Set","formal","denim","Blue | Black | Beige | Burgundy | Pink","M | XS | XXL","autumn","boho","mid-adult","4","11393"
"233","Zara","Zara Chiffon Gown Style Kurta for Women","6650","7050","6","Ethnic Set","formal","chiffon","Black | White","M | XXL | XL | S | L | XS","winter","streetwear","mature","4.5","12672"
"234","Mango","Mango Velvet Festival Outfit Set for Women","15850","17400","9","Ethnic Set","formal","velvet","Red | Green","XS | S | XXL | M","all seasons","classic","senior","3.6","5238"
"235","Uniqlo","Uniqlo Georgette Anarkali Suit Set for Women","3650","3850","5","Ethnic Set","formal","georgette","Green | Lavender | Navy | Blue","XL | L | XS | S | M","spring","romantic","teen","4.1","7434"
"236","ONLY","ONLY Knit Festival Outfit Set for Women","5600","6350","12","Ethnic Set","formal","knit","Beige | Green | Yellow | Blush | Olive","XXL | XS | M | S | L","summer","edgy","young-adult","4.8","5593"
"237","BIBA","BIBA Rayon Kurta with Palazzo Set for Women","9250","10750","14","Ethnic Set","formal","rayon","Mint | Mustard | Cobalt | Red | Blush","XS | M | S | XL | L | XXL","monsoon","preppy","adult","3.7","6968"
"238","W for Woman","W for Woman Embroidered Satin Ethnic Set for Women","8000","8800","9","Ethnic Set","formal","satin","Cobalt | Blue | Olive | Teal","L | XL | XXL | XS | S","autumn","cottagecore","mid-adult","4.9","9272"
"239","FabIndia","FabIndia Polyester Salwar Kameez Set for Women","10650","12400","14","Ethnic Set","formal","polyester","Burgundy | Red","XS | L | XXL | S | XL","winter","k-fashion","mature","4.1","2602"
"240","Gucci","Gucci Viscose Patiala Suit Set for Women","498000","541300","8","Ethnic Set","formal","viscose","Green | Red | Blue | Peach","M | L | XL","all seasons","ethnic","senior","4.4","2439"
"241","Louis Vuitton","Louis Vuitton Cotton Saree with Blouse for Women","446200","501350","11","Ethnic Set","formal","cotton","Black | Pink | Red | Green | Navy","L | S | XS | XXL","spring","minimalist","teen","4.8","13829"
"242","Forever 21","Forever 21 Silk Gown Style Kurta for Women","3500","3950","11","Ethnic Set","formal","silk","Black | White | Peach","XS | L | S | M","summer","boho","young-adult","4.2","13232"
"243","H&M","H&M Linen Denim Jacket for Women","6150","6550","6","Outerwear","formal","linen","Burgundy | Pink","XL | XXL | M | Plus Size | S | L | XS","monsoon","streetwear","adult","3.2","558"
"244","Zara","Zara Denim Bomber Jacket for Women","11850","12600","6","Outerwear","formal","denim","Blue | Beige | Teal | Mustard","L | M | S | XXL | Petite | XL | XS","autumn","classic","mid-adult","5","12878"
"245","Mango","Mango Chiffon Overcoat for Women","14050","16150","13","Outerwear","formal","chiffon","Lavender | Black | Blush","XXL | XL | L | Petite | XS | S","winter","romantic","mature","3.5","6941"
"246","Uniqlo","Uniqlo Velvet Blazer for Women","2200","2400","8","Outerwear","formal","velvet","Coral | Blush | Red","Petite | Plus Size | XXL | XL | L | M | S","all seasons","edgy","senior","4.8","13291"
"247","ONLY","ONLY Georgette Cape Jacket for Women","4750","5150","8","Outerwear","formal","georgette","Black | Lavender | Ivory","Plus Size | Petite | XS | S | XXL","spring","preppy","teen","4.3","14368"
"248","BIBA","BIBA Knit Puffer Jacket for Women","9500","10350","8","Outerwear","formal","knit","Blush | Black | Beige | Cobalt","XS | Petite | S | M | L | Plus Size","summer","cottagecore","young-adult","4.4","5169"
"249","W for Woman","W for Woman Rayon Puffer Jacket for Women","8650","9100","5","Outerwear","formal","rayon","Red | Mustard | Blue","M | XXL | XL | Petite | S","monsoon","k-fashion","adult","5","1322"
"250","FabIndia","FabIndia Satin Overcoat for Women","14850","17250","14","Outerwear","formal","satin","Black | Blue | Burgundy | Green","S | Petite | XXL | Plus Size | L | XS | M","autumn","ethnic","mid-adult","4.7","9722"
"251","Gucci","Gucci Polyester Denim Jacket for Women","141650","164700","14","Outerwear","formal","polyester","Blue | Burgundy | Peach","L | XS | XXL | XL | Plus Size","winter","minimalist","mature","4.2","9678"
"252","Louis Vuitton","Louis Vuitton Viscose Puffer Jacket for Women","135750","142900","5","Outerwear","formal","viscose","Beige | Cobalt | Blue | Teal | Lavender","S | XXL | Petite | XS | XL","all seasons","boho","senior","4.8","3607"
"253","Forever 21","Forever 21 Cotton Denim Jacket for Women","2550","2750","7","Outerwear","formal","cotton","Pink | White | Ivory","L | S | XS | Plus Size | M | XL | XXL","spring","streetwear","teen","3.2","14125"
"254","H&M","H&M Floral Silk Playsuit for Women","7700","8300","7","Jumpsuit","formal","silk","Beige | Teal | Red | Mint","XXL | XL | L | Plus Size | M | S","summer","classic","young-adult","4.1","11392"
"255","Zara","Zara Floral Linen Playsuit for Women","14550","16700","13","Jumpsuit","formal","linen","Burgundy | Pink | Olive | Ivory","L | M | Plus Size | XXL | S | XS | XL","monsoon","romantic","adult","4.8","6205"
"256","Mango","Mango Ruched Denim Playsuit for Women","9100","10700","15","Jumpsuit","formal","denim","Teal | Mint","XXL | L | S | Petite | XS","autumn","edgy","mid-adult","4.9","11711"
"257","Uniqlo","Uniqlo Floral Chiffon Playsuit for Women","5000","5900","15","Jumpsuit","formal","chiffon","Blush | Blue","Plus Size | XL | L | M | XS","winter","preppy","mature","4.9","4762"
"258","ONLY","ONLY Velvet Co-ord Set for Women","6350","6900","8","Jumpsuit","formal","velvet","Blue | Navy | Black | Cobalt | Coral","S | XS | XXL | M | Plus Size | L | XL","all seasons","cottagecore","senior","4.7","11386"
"259","BIBA","BIBA Floral Georgette Playsuit for Women","7000","8250","15","Jumpsuit","formal","georgette","Blue | Black | Blush","Petite | XXL | XL | Plus Size","spring","k-fashion","teen","4","7289"
"260","W for Woman","W for Woman Knit Strapless Jumpsuit for Women","6600","6950","5","Jumpsuit","formal","knit","Green | Beige | Burgundy | Peach","XXL | M | L | XS | Plus Size | S | Petite","summer","ethnic","young-adult","4.1","10040"
"261","FabIndia","FabIndia Printed Rayon Romper for Women","11750","13800","15","Jumpsuit","formal","rayon","Navy | Blush | Burgundy | Cobalt","XS | S | M | L","monsoon","minimalist","adult","3.2","10195"
"262","Gucci","Gucci Off-Shoulder Satin Jumpsuit for Women","262900","285750","8","Jumpsuit","formal","satin","White | Lavender","Petite | M | S | XS | Plus Size | L","autumn","boho","mid-adult","3.8","7304"
"263","Louis Vuitton","Louis Vuitton Halter Neck Polyester Jumpsuit for Women","908550","956350","5","Jumpsuit","formal","polyester","Mustard | Beige | Teal | Cobalt | Burgundy","XS | S | XL | Plus Size | M | L | Petite","winter","streetwear","mature","3.3","13905"
"264","Forever 21","Forever 21 Viscose Utility Jumpsuit for Women","1350","1600","15","Jumpsuit","formal","viscose","Red | White","L | M | XL | S | XS | Petite","all seasons","classic","senior","4.8","9681"
"265","H&M","H&M Cotton Cold Shoulder Top for Women","2400","2550","5","Top","date-night","cotton","Blue | White","S | XS | L | Petite","spring","romantic","teen","4.1","14766"
"266","Zara","Zara Silk Ruffled Sleeve Top for Women","4300","4550","5","Top","date-night","silk","Black | Mint | Blush","M | L | S | XL | XS | XXL","summer","edgy","young-adult","4.6","7352"
"267","Mango","Mango Linen Button-Down Shirt for Women","12150","12800","5","Top","date-night","linen","Green | Navy | Yellow | Coral","L | S | XL | XXL | XS","monsoon","preppy","adult","3.7","763"
"268","Uniqlo","Uniqlo Denim Button-Down Shirt for Women","5950","6550","9","Top","date-night","denim","Teal | Blue | Mint","Petite | XS | XXL | M | Plus Size","autumn","cottagecore","mid-adult","3.6","3236"
"269","ONLY","ONLY Abstract Print Chiffon Top for Women","4100","4650","12","Top","date-night","chiffon","Beige | Green | Mint | Blush","XXL | M | S | Plus Size","winter","k-fashion","mature","3.8","11746"
"270","BIBA","BIBA Polka Dot Velvet Blouse for Women","6500","7000","7","Top","date-night","velvet","Lavender | Coral","M | XS | Petite | S | L | Plus Size","all seasons","ethnic","senior","4.2","4741"
"271","W for Woman","W for Woman Solid Georgette Sleeveless Top for Women","3950","4250","7","Top","date-night","georgette","Yellow | Mint | Pink | Lavender | Cobalt","Plus Size | XL | M | S | Petite | XS | XXL","spring","minimalist","teen","3.2","7742"
"272","FabIndia","FabIndia Knit Off-Shoulder Blouse for Women","2000","2100","5","Top","date-night","knit","Mint | Black | Pink","Petite | L | XXL | XS | M","summer","boho","young-adult","3.6","9880"
"273","Gucci","Gucci Polka Dot Rayon Blouse for Women","348000","400000","13","Top","date-night","rayon","Black | Mustard | Teal","L | XXL | XS | S | M | Plus Size","monsoon","streetwear","adult","3.8","3422"
"274","Louis Vuitton","Louis Vuitton Satin Button-Down Shirt for Women","865000","961100","10","Top","date-night","satin","Coral | Beige","XS | Plus Size | S | M | L","autumn","classic","mid-adult","3.8","3194"
"275","Forever 21","Forever 21 Polyester Peplum Top for Women","2400","2800","15","Top","date-night","polyester","Beige | Blue | Blush | Red","S | Plus Size | XXL | XS | XL","winter","romantic","mature","3.8","12233"
"276","H&M","H&M Pleated Viscose A-Line Skirt for Women","5800","6650","13","Bottom","date-night","viscose","White | Yellow | Blue | Green","24 | 26 | 28 | 30","all seasons","edgy","senior","3.3","6626"
"277","Zara","Zara Cotton Track Pants for Women","3100","3650","15","Bottom","date-night","cotton","Cobalt | Burgundy | Beige","28 | 26 | 30 | 24 | 32 | 34 | 36","spring","preppy","teen","4.6","1330"
